Date,n_long,n_short,gross_exposure,gross_pnl,costs,net_pnl,ret_on_exposure,ret_on_capital,equity
2019-09-27,3,1,25.0,-0.7288747710745487,0.125,-0.8538747710745487,-0.034154990842981944,-0.025902873287466623,0.6146465561609414
2019-10-04,12,0,60.0,1.0735530715259851,0.30000000000000004,0.7735530715259851,0.012892551192099751,0.023466259774431043,0.6225709183512941
2019-10-11,1,1,15.0,0.036594920663231,0.07500000000000001,-0.03840507933676901,-0.0025603386224512673,-0.0011650442633450028,0.6209769259838243
2019-10-18,1,5,55.0,-2.0636413114510095,0.275,-2.3386413114510094,-0.04252075111729108,-0.07094427849076415,0.5945725206644856
2019-10-25,3,0,15.0,0.7041401241430983,0.07500000000000001,0.6291401241430983,0.041942674942873216,0.01908539456579975,0.6195104826286809
2019-11-01,0,3,30.0,-0.419737443904844,0.15000000000000002,-0.569737443904844,-0.018991248130161467,-0.017283373764539818,0.6077452053338436
2019-11-08,5,0,25.0,-0.025656380164650883,0.125,-0.15065638016465088,-0.006026255206586035,-0.004570263998364047,0.6040827776259228
2019-11-15,2,0,10.0,0.13687546643605164,0.05,0.08687546643605164,0.008687546643605163,0.002635426499427675,0.6093307749331466
2019-11-22,2,0,10.0,-0.04919051271753849,0.05,-0.0991905127175385,-0.00991905127175385,-0.0030090118238391287,0.6032867917351272
2019-11-29,1,0,5.0,-0.02183406113537123,0.025,-0.04683406113537123,-0.009366812227074247,-0.0014207431724447468,0.5976359176378703
2019-12-06,5,0,25.0,0.9562047560891018,0.125,0.8312047560891018,0.033248190243564076,0.02521516292818991,0.6175062303238812
2019-12-13,1,0,5.0,0.09682187730968184,0.025,0.07182187730968184,0.014364375461936368,0.0021787656108863285,0.6263763216663384
2020-01-03,1,0,5.0,0.04744388925961407,0.025,0.022443889259614068,0.004488777851922814,0.0006808506812282427,0.6291879858260032
2020-01-17,1,2,25.0,0.3748122192615455,0.125,0.2498122192615455,0.00999248877046182,0.007578223974283104,0.635475139708879
2020-01-24,5,0,25.0,-1.498770748287997,0.125,-1.623770748287997,-0.06495082993151988,-0.04925819261279792,0.5942005019839388
2020-01-31,11,0,55.0,2.7484212353096904,0.275,2.4734212353096905,0.04497129518744892,0.07503291936372537,0.620922468159189
2020-02-07,2,3,40.0,-2.465804813466939,0.2,-2.665804813466939,-0.06664512033667348,-0.080869006359627,0.5795410155489755
2020-02-14,8,1,50.0,0.3234788285629958,0.25,0.07347882856299581,0.0014695765712599163,0.0022290303567390358,0.5803926954475105
2020-02-28,35,0,175.0,-1.8314066063116456,0.875,-2.7064066063116456,-0.015465180607495119,-0.08210068942478758,0.5714168175891439
2020-03-06,9,0,45.0,-6.084962658468644,0.225,-6.309962658468644,-0.14022139241041431,-0.1914170188975983,0.4912919557800664
2020-03-13,42,0,210.0,-26.582318980932428,1.05,-27.63231898093243,-0.13158247133777345,-0.8382452339014728,0.4266465460901572
2020-03-20,37,0,185.0,-5.924188987353773,0.925,-6.849188987353773,-0.03702264317488526,-0.20777481718785584,0.41085096325246406
2020-03-27,22,3,140.0,1.0025449817970982,0.7000000000000001,0.3025449817970981,0.0021610355842649866,0.009177908274988636,0.4117388268038822
2020-04-03,22,2,130.0,11.364795591742952,0.65,10.714795591742952,0.08242150455186886,0.32504062880877915,0.44567496039147947
2020-04-10,0,30,300.0,-8.22543833020417,1.5,-9.72543833020417,-0.03241812776734723,-0.29502780181141536,0.4312270125828011
2020-04-17,5,5,75.0,7.124593219034095,0.375,6.749593219034095,0.08999457625378793,0.20475351165905334,0.47003510484937716
2020-04-24,22,1,120.0,11.957138586244714,0.6000000000000001,11.357138586244714,0.09464282155203928,0.34452654144762246,0.5145205534008308
2020-05-01,0,14,140.0,10.484420136403317,0.7000000000000001,9.784420136403318,0.0698887152600237,0.296817055111779,0.5504797338528913
2020-05-08,26,0,130.0,2.3930331124318993,0.65,1.7430331124318994,0.013407947018706918,0.052876097733118535,0.5578605369592627
2020-05-15,5,3,55.0,0.6588527810935546,0.275,0.3838527810935546,0.006979141474428265,0.011644435796124408,0.561753924569702
2020-05-22,11,3,85.0,4.337226295479697,0.42500000000000004,3.912226295479697,0.046026191711525846,0.11868005173191622,0.5876093183966491
2020-05-29,1,11,115.0,-6.032526881999017,0.5750000000000001,-6.607526881999017,-0.05745675549564363,-0.20044383247506342,0.553847193462571
2020-06-05,0,7,70.0,1.4683485800825247,0.35000000000000003,1.1183485800825246,0.015976408286893208,0.03392586658186523,0.562695682353879
2020-06-12,4,2,40.0,2.055490331151455,0.2,1.855490331151455,0.04638725827878638,0.056287564127760675,0.5887975923035863
2020-06-19,2,5,60.0,-3.058636692247619,0.3,-3.358636692247619,-0.055977278204126985,-0.1018865337225552,0.5558383056732883
2020-06-26,0,1,10.0,0.9874522640480088,0.05,0.9374522640480087,0.09374522640480087,0.028438253513598938,0.6079454934830916
2020-07-03,1,1,15.0,-0.18667981944818113,0.07500000000000001,-0.26167981944818114,-0.01744532129654541,-0.007938235716372507,0.5973396890184922
2020-07-10,2,3,40.0,0.14067590405940467,0.2,-0.059324095940595345,-0.0014831023985148837,-0.0017996368930176458,0.5964537730929808
2020-07-17,3,2,35.0,0.5093218984075654,0.17500000000000002,0.3343218984075653,0.009552054240216152,0.010141882703453701,0.6021511318853464
2020-07-24,2,4,50.0,0.10013773361952749,0.25,-0.1498622663804725,-0.0029972453276094504,-0.004546174015354574,0.6003463372187883
2020-07-31,3,2,35.0,-0.13962207120395975,0.17500000000000002,-0.3146220712039598,-0.008989202034398852,-0.009544275015387425,0.5949497027029172
2020-08-07,0,3,30.0,-0.8944267163849928,0.15000000000000002,-1.0444267163849927,-0.034814223879499756,-0.03168339645229236,0.5742369905559761
2020-08-14,2,2,30.0,-0.2230088082901771,0.15000000000000002,-0.37300880829017713,-0.012433626943005904,-0.011315476488537491,0.5670971420385287
2020-08-21,0,2,20.0,-1.9373988623950167,0.1,-2.0373988623950168,-0.10186994311975084,-0.06180588343444477,0.5093269884356905
2020-08-28,0,6,60.0,4.7332827180249115,0.30000000000000004,4.433282718024912,0.07388804530041519,0.1344866535264913,0.5469601640299507
2020-09-04,9,0,45.0,-1.255878631959399,0.225,-1.4808786319593992,-0.0329084140435422,-0.0449234628509855,0.5289605724867293
2020-09-11,5,1,35.0,0.1456815698166808,0.175,-0.0293184301833192,-0.00083766943380912,-0.0008893945666883404,0.5285174783834671
2020-09-18,0,4,40.0,-0.4376486266395774,0.2,-0.6376486266395773,-0.015941215665989432,-0.019343505789480755,0.5200922672773114
2020-09-25,23,1,125.0,5.124274635727758,0.6250000000000001,4.499274635727758,0.03599419708582206,0.13648856333828094,0.538812570848503
2020-10-02,0,2,20.0,-0.25148915663268046,0.1,-0.35148915663268043,-0.01757445783163402,-0.010662663185044429,0.5293432320429716
2020-10-09,1,3,35.0,1.435619984045191,0.17500000000000002,1.260619984045191,0.0360177138298626,0.0382417666109026,0.5484089650924698
2020-10-16,3,0,15.0,0.42427251802777843,0.07500000000000001,0.3492725180277784,0.023284834535185227,0.010595419941829002,0.5611785771022602
2020-10-23,2,0,10.0,-0.39312460655692383,0.05,-0.4431246065569238,-0.04431246065569238,-0.01344248702858136,0.5363113734835988
2020-10-30,9,1,55.0,2.4298199963606013,0.275,2.1548199963606014,0.03917854538837457,0.06536793358209532,0.5573232729719275
2020-11-06,0,10,100.0,-8.423429478799594,0.5,-8.923429478799594,-0.08923429478799594,-0.2706983165553793,0.5075909237393398
2020-11-13,1,7,75.0,-4.139311107552686,0.37500000000000006,-4.514311107552686,-0.06019081476736915,-0.13694470496181377,0.4770386124709474
2020-11-20,0,3,30.0,-0.6060320224378613,0.15000000000000002,-0.7560320224378613,-0.025201067414595376,-0.022934746805823227,0.46501673023870205
2020-11-27,1,1,15.0,0.3279621918415415,0.07500000000000001,0.2529621918415415,0.016864146122769434,0.0076737805399091745,0.47285884032697995
2020-12-04,2,7,80.0,-0.719110365411112,0.4,-1.119110365411112,-0.0139888795676389,-0.03394897585913527,0.4662440749571524
2020-12-25,4,0,20.0,0.8124518223821497,0.1,0.7124518223821498,0.03562259111910749,0.021612711727465133,0.48285289700105755
2021-01-01,0,1,10.0,-0.45077105575326293,0.05,-0.500771055753263,-0.0500771055753263,-0.015191231363919954,0.4586730215005834
2021-01-08,1,4,45.0,1.5665425218770002,0.225,1.341542521877,0.029812056041711114,0.04069660696286631,0.47234700732237983
2021-01-15,6,1,40.0,0.2243967120781154,0.2,0.02439671207811539,0.0006099178019528847,0.0007400908927136538,0.472635100170845
2021-01-22,8,1,50.0,-1.4868876875219261,0.25,-1.7368876875219261,-0.03473775375043852,-0.052689672078990876,0.45621681844729634
2021-01-29,19,1,105.0,7.128493729132714,0.525,6.603493729132714,0.0628904164679306,0.20032148403336703,0.48490848415912113
2021-02-05,0,21,210.0,-4.594090639260003,1.05,-5.6440906392600025,-0.0268766220917143,-0.17121733725397106,0.4718757820813104
2021-02-12,2,2,30.0,-1.854983138310831,0.15000000000000002,-2.004983138310831,-0.0668327712770277,-0.06082253034577407,0.44033901586630164
2021-02-19,2,1,20.0,-0.4343107128618723,0.1,-0.5343107128618723,-0.02671553564309361,-0.016208679727098652,0.4285751231928807
2021-02-26,12,1,70.0,2.2045657427816026,0.35000000000000003,1.8545657427816025,0.026493796325451464,0.05625951610924712,0.43992970521690816
